tdc_isd_map_ecap.c:127	variable 'k' set but not used [-Wunused-but-set-variable]
tdc_isd_map_ecap.c:143	unused variable 'maskerProbeDAC_diff' [-Wunused-variable]
tdc_isd_map_impedance.c:31	unused variable 'w_FPGA_registerValue' [-Wunused-variable]
tdc_isd_map_impedance.c:32	unused variable 'r_FPGA_registerValue' [-Wunused-variable]
tdc_isd_map_impedance.c:33	unused variable 'comparing' [-Wunused-variable]
tdc_isd_map_impedance.c:40	unused variable 'r_isd_registerValue' [-Wunused-variable]
tdc_isd_map_impedance.c:41	unused variable 'bitReverse' [-Wunused-variable]
tdc_isd_map_impedance.c:42	unused variable 'last_fpga_settingValue' [-Wunused-variable]
tdc_isd_map_impedance.c:43	unused variable 'w_FPGA_VolatileValue' [-Wunused-variable]
tdc_isd_map_impedance.c:48	variable 'monopolarImpedanceCheckDone' set but not used [-Wunused-but-set-variable]
tdc_isd_map_live.c:31	unused variable 'programNum_original' [-Wunused-variable]
tdc_isd_map_live.c:33	unused variable 'stimulationTime_ms' [-Wunused-variable]
tdc_isd_map_live.c:42	unused variable 'evenOdd' [-Wunused-variable]
tdc_isd_map_live.c:51	unused variable 'stimul_255' [-Wunused-variable]
tdc_isd_map_live.c:53	unused variable 'tempB' [-Wunused-variable]
tdc_isd_map_live.c:53	variable 'tempA' set but not used [-Wunused-but-set-variable]
tdc_isd_map_live.c:59	unused variable 'ISD_is_connected' [-Wunused-variable]
tdc_isd_map_specific_stim.c:31	unused variable 'last_fpga_settingValue' [-Wunused-variable]
tdc_isd_map_specific_stim.c:32	unused variable 'w_FPGA_registerValue' [-Wunused-variable]
tdc_isd_map_specific_stim.c:41	unused variable 'k' [-Wunused-variable]
tdc_isd_stim_para_setting.c:401	unused variable 'w_FPGA_registerValue' [-Wunused-variable]
tdc_isd_stim_para_setting.c:402	unused variable 'bitReverse' [-Wunused-variable]
tdc_isd_stim_para_setting.c:405	unused variable 'r_isd_registerValue' [-Wunused-variable]
tdc_isd_stim_para_setting.c:406	unused variable 'fifoCounter' [-Wunused-variable]
